Time,Fuel Tank,Ox Tank,Throttle Cavity,Low Press,Nothing,Ox Manifold,Fuel Manifold,Pneumatics,High Press,CC
1713734909204,483.90989,600.04222,-6.34532,-61.72317,1.47133,258.30319,23.00409,98.87353,3570.0012,3.70917
1713734909207,482.43775,598.28572,-5.93001,-62.14978,1.36123,271.84486,23.24023,98.81832,3568.81003,4.0208
1713734909209,481.30343,596.57932,-5.45604,-62.2961,1.27744,284.41871,23.81588,98.77108,3567.34506,4.61685
1713734909212,480.69999,594.84394,-5.59048,-62.11291,1.13709,295.4079,25.2758,98.69353,3565.3875,5.40387
1713734909218,480.38574,593.16523,-5.74464,-61.80312,1.31785,305.67297,26.5329,98.63699,3563.53825,6.84762
1713734909227,480.71288,591.37279,-5.51912,-61.8583,1.23,314.67316,28.31601,98.57687,3562.60583,8.24572
1713734909230,481.18791,589.6821,-5.06048,-62.12558,1.06766,323.81022,29.85263,98.51276,3561.16004,9.81944
1713734909233,481.79746,588.00399,-4.78311,-62.07483,1.05686,331.8358,31.62086,98.45367,3559.569,11.58643
1713734909236,482.60169,586.3529,-4.77855,-61.87105,1.03304,339.3728,34.07698,98.41807,3557.51375,13.36228
1713734909239,483.48483,584.72135,-4.95669,-61.64493,0.9696,346.16471,36.53219,98.39121,3555.76114,15.21313
1713734909242,484.46989,583.19787,-4.94175,-61.2391,0.95226,352.32331,39.10576,98.34949,3554.59457,17.25835
1713734909245,485.60615,581.76095,-4.82842,-60.96786,0.99556,357.81122,41.81407,98.32966,3553.78286,19.23826
1713734909248,486.75204,580.39007,-4.85832,-60.76461,1.0016,363.29912,44.60536,98.30758,3553.21726,21.31324
1713734909251,488.0034,579.16545,-4.76679,-60.52546,0.98672,368.42679,48.36233,98.31217,3552.72743,23.35715
1713734909257,489.49643,578.02862,-4.68051,-60.26991,1.0654,373.29266,52.14097,98.30259,3552.76964,25.4526
1713734909264,490.98007,576.87844,-4.75651,-59.87639,1.03032,377.92498,58.79151,98.3314,3551.27407,28.08303
1713734909271,492.5247,575.6823,-4.91834,-59.53903,1.04102,381.14337,68.66206,98.31835,3550.28992,30.75672
1713734909283,494.22417,574.54131,-4.95097,-59.47688,0.99739,384.06402,91.63422,98.31092,3548.88699,33.44922
1713734909290,495.99657,573.40761,-4.8057,-59.27005,1.00663,386.66245,115.28987,98.29493,3546.99264,35.91733
1713734909297,497.75029,572.33601,-4.54604,-59.13989,1.03619,389.364,132.99359,98.30701,3545.80486,38.49617
1713734909301,499.48946,571.32611,-4.53457,-59.08221,1.06288,392.10678,146.33445,98.30005,3544.67449,40.73639
1713734909306,501.173,570.38975,-4.56576,-58.74866,1.05556,393.97885,158.96838,98.32161,3543.12742,43.15875
1713734909312,502.82656,569.37291,-4.94121,-58.28385,1.15534,395.21323,172.22588,98.28943,3541.33463,45.63282
1713734909316,504.4359,568.48231,-5.34598,-57.8913,1.12662,397.48894,185.52338,98.2739,3539.65931,47.67055
1713734909319,505.89103,567.62965,-5.38007,-57.83694,1.08914,399.58508,200.94728,98.28953,3536.97985,50.19896
1713734909328,507.39835,566.74005,-5.32067,-57.80776,1.13998,400.60678,215.62356,98.26086,3534.30458,52.51707
1713734909332,508.82703,565.97919,-4.83751,-57.44823,1.29431,402.02526,228.00339,98.26508,3531.84124,54.8195
1713734909335,510.18465,565.24572,-4.82424,-57.4521,1.30401,403.45973,238.27549,98.27498,3529.95049,57.27063
1713734909340,511.56732,564.52313,-4.76693,-57.40683,1.31623,404.91428,247.45206,98.27274,3527.76937,59.88159
1713734909346,512.89787,563.89483,-4.62699,-57.41395,1.3338,406.26817,258.07516,98.29123,3526.3274,62.915
1713734909357,514.15048,563.26646,-4.79583,-57.36038,1.32134,407.23732,268.8747,98.29393,3523.48051,66.18316
1713734909361,515.47582,562.61306,-5.05692,-56.97911,1.34443,408.13295,278.77514,98.27085,3520.93167,69.3209
1713734909365,516.63888,562.08397,-4.56767,-57.46097,1.35895,410.12063,286.77626,98.25912,3518.50197,72.48292
1713734909368,517.79546,561.54663,-4.53836,-57.41827,1.43975,411.1087,294.47907,98.28696,3516.6035,75.86526
1713734909372,518.87419,561.0344,-4.12173,-57.25029,1.46352,412.68113,301.16677,98.27766,3514.40953,79.01941
1713734909376,519.95325,560.56325,-4.06397,-57.1989,1.53829,414.29829,307.24238,98.27382,3512.18573,82.30807
1713734909380,520.87943,560.10833,-3.69788,-57.35626,1.40576,415.93496,313.48376,98.26675,3509.01763,85.55656
1713734909384,521.87262,559.63067,-3.67448,-57.12213,1.40203,417.04804,320.14532,98.27259,3506.91598,88.98858
1713734909388,522.76835,559.11154,-3.65532,-57.12559,1.43709,418.45095,326.71719,98.30184,3504.87575,92.22878
1713734909392,523.58555,558.71134,-3.61817,-57.05612,1.4513,419.43736,332.9908,98.2885,3502.91543,95.62061
1713734909395,524.47129,558.27989,-3.92683,-56.97854,1.45972,420.53241,338.72231,98.28111,3501.10394,98.97596
1713734909399,525.33482,557.88639,-4.34067,-56.49027,1.50146,421.03441,343.87911,98.32224,3499.13509,102.33061
1713734909403,526.1167,557.56008,-4.26818,-56.34191,1.42901,421.80685,349.05707,98.34078,3496.58672,105.61496
1713734909406,526.83282,557.209,-4.67723,-56.2905,1.57139,422.88537,352.94631,98.39665,3494.53633,108.97356
1713734909410,527.52397,556.97232,-4.99832,-55.79093,1.64166,423.34534,357.51422,98.40966,3492.1261,112.09509
1713734909414,528.11683,556.67314,-4.60931,-56.08135,1.5754,424.75713,361.25083,98.43617,3490.991,115.23754
1713734909418,528.74533,556.42661,-4.15402,-56.20491,1.51504,426.09126,364.78941,98.45275,3489.40813,118.60609
1713734909424,529.44525,556.18327,-4.16382,-56.15037,1.42368,427.17873,368.97166,98.45691,3487.0241,121.89773
1713734909428,530.01482,555.98829,-4.29963,-55.95517,1.40601,427.63458,372.81622,98.46037,3484.69755,125.6336
1713734909447,530.64047,555.80738,-4.40408,-55.60106,1.45832,427.81879,376.69936,98.44692,3482.07682,129.38837
1713734909452,531.28709,555.58669,-4.79102,-55.38831,1.50066,429.27069,380.02183,98.46254,3478.607,133.34798
